Company,ws_rank,digital_score
Aceitera General Deheza S.A.,0.6666,1.1983510790141807
Adeco Agropecuaria S.A.,0.4845,1.008953585748856
Agropecuaria Crestani LTDA,0.1,0.161120012580434
Amaggi ExportaÃ§Ã£o e ImportaÃ§Ã£o Ltda,0.6097,0.9346910820247344
AssociaÃ§Ã£o Clube Amigos da Terra CAT Sorriso,0.5772,0.8775314779420658
Bunge Alimentos S.A - Grupo II,0.6164,4.988148946089547
Caldenes S.A.,0.3984,0.6309745023958858
Cataratas do IguaÃ§u produtos orgÃ¢nicos LTDA - Gebana Grupo Sul,0.7691,1.167522842250407
Cosufi S.A.,0.6694,1.0173351898243188
CRESUD SACIFYA,0.6531,1.0423759129982144
Desarrollo AgrÃ­cola del Paraguay S.A.,0.4829,0.7741200647998783
Espartina S.A.,0.7172,1.0967405859060797
FAPCEN,0.6671,1.0133776838450683
Fazenda Santa Cruz,0.6091,0.925559720870632
Ferias del Norte S.A.C.I.A.,0.4897,0.7439670868860654
GestiÃ³n Argentina S.A.,0.5766,0.8762322049181963
Los Grobo Agropecuaria S.A.,0.6531,1.1790240950704185
Louis Dreyfus Company â Bom Futuro AgrÃ­cola LTDA,0.8442,1.778247037841492
Louis Dreyfus Company - LDC Sorriso,0.769,2.6280585904121985
SLC AgrÃ­cola S.A.,0.7753,1.9445441044989848
Tecnocampo S.A.,0.4197,0.6619519957342483
Kilargo Spolka z ograniczona odpowiedzialnoscia,0.6984,1.0629690954830766
"Noregal , SA de CV",0.6887,1.045951191011102
INGRETECH SARL,0.5279,0.8044395735596243
Bregaglio S.r.l.,0.4003,0.6169636952938943
3V SIGMA USA INC.,0.4829,0.7392393008770192
9Brand Foods Limited,0.8379,1.2745723617853983
Aako B.V.,0.8653,1.316599608682906
AB Goteborg Food,0.7968,1.2120443067333784
ABS FOOD S.R.L.,0.8065,1.2304514744570252
ACE Trade CZ spol. s r.o.,0.5657,0.8589622728660726
ACI Group Ltd.,0.7822,1.1904570511288315
ACOMO N.V.,0.5537,0.8560348528006665
ACTIBIO,0.7173,1.0907634622451636
ACTIVE-UP S.R.L.,0.8205,1.246960163717717
Adara France,0.4229,0.6433411782273414
Additiv-Chemie Luers GmbH & Co. KG,0.7908,1.201969961714639
ADEKA Europe GmbH,0.6315,0.9679162741928354
ADEKA INDIA PRIVATE LIMITED,0.1,0.1536360172559891
ADEKA (ASIA) PTE. LTD.,0.7717,1.173166493230256
Adina Cosmetic Ingredients Ltd,0.4819,0.7377213398956223
Adolf Darbo AG,0.8657,1.3234227360359672
"AGC Chemicals Europe, Ltd.",0.8484,1.3002699825380537
Agro Trading Srl,0.8499,1.2910971570769034
Agropole,0.87,1.3206944291877851
AICELLO-HARKE GmbH,0.5782,0.8783781170837283
ROSSOW,0.7108,1.0820746370570995
AJDK ApS,0.8594,1.3046568783001435
Ajinomoto Do Brasil Ind. E Com. De Alimentos Ltda.,0.8629,2.263995775284416
"Ajinomoto Health & Nutrition North America, Inc.",0.7397,1.1476995097812257
AKSH INDUSTRIES INC,0.4829,0.7339464254461514
Aktsiaselts Balt-Hellin,0.7031,1.0675580834533156
Alfa Chemicals Ltd,0.6961,1.06908452507132
ALFALFA,0.7021,1.0688683765189473
Alfred Pfersich Gmbh & Co. KG,0.7165,1.0878334932029476
Algol Chemicals Oy,0.6987,1.0668152806624496
"ALIMENTACIÃN Y FARMACIA, S.A.",0.5791,0.8883751187676429
Allan Chemical Corporation,0.7775,1.18188053574943
Allinall Ingredients Limited,0.7138,1.0848414364001455
Alsiano A/S,0.8478,1.290035291508462
"ALTAQUÃMICA,S.A.",0.7686,1.1729207532620862
Amano Enzyme Inc,0.5798,0.8863297199743695
"AMBROPEK, spol. s r.o.",0.6856,1.0410155220792334
American International Foods Inc.,0.8178,1.2444964620665575
American Metals and Chemical Corporation,0.575,0.8732222766811544
